319121,Magali,Fassiotto,,
319121,Giacomo,Negro,,
319126,Ilan,Guttman,,
319126,Ilan,Kremer,,
319131,Radu,Ban,,
319131,Vijayendra,Rao,,
319141,Allan,McCall,,
319141,Gaizka, Ormazabal,,
319146,Gregory,Miller,,
319146,Hal,White,,
319151,Thomas,Linsmeier,,
319151,Kathy,Petroni,,
319151,Catherine,Shakespeare,,
319171,Roy,Baumeister,,
319171,Emily,Garbinsky,,
319171,Kathleen, Vohs,,
319181,Christopher,Armstrong,,
319181,Gaizka,Ormazabal,,
319181,Daniel,Taylor,,
319186,Ying,Chen,,
319186,Hülya,Eraslan,,
319206,Sanford,DeVoe,,
319206,Byron,Lee,,
319226,Michael,Norton,,
319226,Melanie,Rudd,,
319431,Rosser,Nelson,,
319431,Ruby,Wong,,
319621,Alan,Henricks,,
319621,Joellyn,Murphy,,
320356,Rosser,Nelson,,
320356,Vichit,Suraphongschai,,
320726,Henry,Armour,,
320726,David,Teece,,
321191,O.,Joy,,
321191,Robert,Litzenberger,,
338044,Ben,Bernanke,,
338044,Henning,Bohn,,
338090,Stephen,Ansolabehere,,
338090,Morris,Fiorina,,
318671,Naomi,Eisenberger ,,
318671,Curtis,Hardin,,
318671,Stacey,Sinclair,,
318766,Michael,Schwarz,,
318151,Scott,Schaefer,,
317761,Dimitri,Vayanos,,
311031,Martin,Hellwig,,
311076,Paul,Klemperer,,
311111,Patti,Williams,,
311126,Jerzy,Konieczny,,
311171,Patrick,Bajari,,
311181,Laszlo,Polos,,
311196,Aimee,Drolet,,
311201,Matthew,White,,
311211,Patrick,Bajari,,
311221,Eddie,Dekel,,
311231,Terry,Taylor,,
311236,Terry,Taylor,,
311241,Amy,Ward,,
311266,Elizabeth,Pontikes,,
311301,Zaki,Zahran,,
311311,Sanford,DeVoe,,
311326,Satoshi,Akutsu,,
311336,Aner,Sela,,
311346,Qingmin,Liu,,
311356,Ozge,Islegen,,
311366,Sanford,DeVoe,,
311376,Sanjog,Misra,,
311396,Alexander,Nezlobin,,
311401,Alexander,Nezlobin,,
311446,Michael,Schwarz,,
311471,Anastasia,Zakolyukina,,
311496,Sanford,DeVoe,,
311511,Carola,Frydman,,
311516,Simon,Klevansky,,
311526,Pradeep,Chintagunta,,
311571,Brett,Gordon,,
311576,Balazs,Kovacs,,
311581,Laszlo,Polos,,
311601,Paul,Klemperer,,
311616,Katarina,Lewellen,,
311636,Steven,Wilkinson,,
311661,Cecilia,Mo,,
311691,Sudipto,Bhattacharya,,
315791,David,McKendrick,,
315801,Randolph,Bucklin,,
315941,Janet,Spitz,,
316011,Allan,Kleidon,,
316066,Rosser,Nelson,,
316091,Vijay,Gurbaxani,,
316096,Bertrand,Jacquillat,,
316146,Gwendolyn,Ortmeyer,,
316166,Linda,Ginzel,,
316186,Piotr,Swistak,,
316191,Piotr,Swistak,,
316261,Mark,Lang,,
316271,Rosser,Nelson,,
316296,James,Lavin,,
316321,David,Bell,,
316336,Rosser,Nelson,,
316406,Allen,Weiss,,
316446,David,Besanko,,
316486,Rashi,Glazer,,
316496,David,Besanko,,
316541,W.,Steinmueller,,
316576,David,Besanko,,
316581,David,Besanko,,
316666,Ingrid,Werner,,
316711,Dan,Swenson,,
316756,Mark,Lang,,
316801,Sanjeev,Dewan,,
316851,David,Besanko,,
316876,Daniel ,Diermeier,,
316886,Julio,Rotemberg,,
316976,Bengt,Holmstrom,,
316981,Alfred,Osborne,,
317036,David,Aboody,,
317106,Glenn,Chertow,,
317131,Michael,Herron,,
317221,Geert,Bekaert,,
317231,Olav,Sorenson,,
317306,Karen,Nelson,,
317321,Chezy,Ofir,,
317326,Ran,Kivetz,,
317336,Stephen,Nowlis,,
317346,David,Owens,,
317351,Terri,Griffith,,
317416,Susan,Linton,,
317436,Laszlo,Polos,,
317456,Michael,Woywode,,
317461,Alan,Wiseman,,
317466,D.,Kiewiet,,
317471,Adam,Meirowitz,,
317616,Lainie,Ross,,
317656,Amy,Hutton,,
317661,David,Aboody,,
317671,Hugo,Hopenhayn,,
317676,Daniel,Diermeier,,
317736,Patrick,Bajari,,
317741,Adam,Meirowitz,,
317751,Matthew,White,,
317756,Susan,Fournier,,
317771,Sunil,Dutta,,
317806,Laszlo,Polos,,
317811,Laszlo,Polos,,
317826,Ron,Kivetz,,
317831,Carl,Shapiro,,
317896,Sunil,Dutta,,
317956,Scott,Schaefer,,
318026,David,Aboody,,
318116,Ilan,Kremer,,
318131,Jonathan,Levin,,
318141,Bruno,Solnik,,
318161,Tim,Baldenius,,
318186,Matthew,White,,
318191,Frank,Wolak,,
318216,Patrick,Bajari,,
318246,Fabrizio,Ferraro,,
318271,Christina,Fong,,
318276,Sandra,Graham,,
318281,Alan,Wiseman,,
318336,Steven,Berry,,
318356,Sunil,Dutta,,
318381,Matthew,Mitchell,,
318396,Chezy,Ofir,,
318416,Joseph,Harrington,,
318421,Yuliy,Sannikov,,
318426,Rosser,Nelson,,
318431,Amy,Ward,,
318436,Terry,Taylor,,
318466,Neng,Wang,,
318486,Oded,Netzer,,
318496,Webb,McKinney,,
318501,Liisa,Valikangas,,
318506,Daniel,Diermeier,,
318516,Angela,Lee,,
318531,David,McKendrick,,
318556,Ozgecan,Kocak,,
318561,Gregor,Matvos,,
318566,Michael,Schwarz,,
318571,Wendy,Liu,,
318646,V.,Viard,,
318656,Jonathan,Woon,,
318716,Mark,Soliman,,
318721,Colin,Stewart,,
318761,Gregor,Matvos,,
318786,Benjamin,Roy,,
318806,Paul,Klemperer,,
318861,Richard,Gil,,
318876,Robert,Siegel,,
318901,Fadi,Kanaan,,
318916,Dennis,Wheaton,,
318921,Sanford,DeVoe,,
318926,Debra,Schifrin,,
318931,Wendy,Liu,,
318946,Bruno,Solnik,,
318961,Marc,Meredith,,
318966,Puneet,Manchanda,,
319026,Cassie,Mogilner,,
319056,Alexander,Hirsch,,
319156,Elizabeth,Pontikes,,
319196,Sanford,DeVoe,,
319201,Zachary,Peksowitz,,
319216,Willemein,Kets,,
319251,R.,Stehle,,
319646,Patrick,Mantey,,
320061,Daniel,Cooperman,,
320881,Donald,Baron,,
320916,Margaret,Bray,,
321436,Gwendolyn,Ortmeyer,,
321481,Brett,Gordon,,
337975,John,Geanakoplos,,
337994,David,Besanko,,
338031,David,Besanko,,
338050,Rosser,Nelson,,
338063,Wayne,Shafer,,
338074,Randolph,Bucklin,,
338078,Chi-fu,Huang,,
338079,Mark,Garman,,
