80231,athey,,
80231,,Guido,Imbens
65746,coreilly,,
65756,coreilly,,
65761,coreilly,,
65766,coreilly,,
66141,dbaron,,
65056,djenter,,
65901,dlarcker,,
65911,dlarcker,,
66791,enthoven,,
66791,,S.,Shortell
66791,,F.J.,Crossen
66396,fkessler,,
66416,fkessler,,
66081,fmcnich,,
66086,fmcnich,,
65326,haim,,
68611,hausmanw,,
66166,jbberk,,
64471,neilm,,
64651,ost,,
64656,ost,,
64336,pdemarzo,,
64361,pdemarzo,,
65591,saumitra,,
65591,,Vijayendra,Rao
65591,,Michael,Woolcock
65586,saumitra,,
64611,sgren,,
64611,,Neng,Wang
65136,sridharn,,
65776,zwiebel,,
68226,jmartin,,
69016,mclennan,,
64351,pdemarzo,,
67496,jaaker,,
64906,pauloyer,,
65896,dlarcker,,
64341,pdemarzo,,
67886,uzmakhan,,
65041,fperezg,,
67121,gfoster,,
67121,,Christopher S.,Armstrong
67121,,Antonio,Davila
66556,jpiotros,,
66151,dbaron,,
65006,abeyer,,
65006,,Sri S.,Sridhar
80241,athey,,
80241,,Guido,Imbens
68121,beiker,,
65606,blowery,,
64636,cheath,,
65771,coreilly,,
68671,dbrady,,
68676,dbrady,,
68681,dbrady,,
65486,fkasznik,,
65486,fbarth,,
66091,fmcnich,,
67501,jaaker,,
67571,jaaker,,
67576,jaaker,,
67656,janewei,,
64531,kshotts,,
65071,ltiedens,,
65076,ltiedens,,
65081,ltiedens,,
68651,mleslie1,,
68651,chollowa,,
77021,pauloyer,,
69951,profrab,,
66056,rwilson,,
65356,skrz,,
65356,,I.,Kremer
65361,skrz,,
65361,,Joseph E.,Harrington
66251,wesleyr,,
68231,jmartin,,
69981,mkelman,,
64911,pauloyer,,
64911,sgren,,
64911,,Scott,Schaefer
65346,skrz,,
65346,pdemarzo,,
65346,,I.,Kremer
65186,bshiv,,
65351,skrz,,
65351,yossi,,
65181,bshiv,,
66566,jpiotros,,
64516,hnair,,
65206,bshiv,,
65191,bshiv,,
66561,jpiotros,,
67891,uzmakhan,,
66326,elp,,
66331,elp,,
80256,athey,,
80256,,Philip,Haile
68126,beiker,,
65611,blowery,,
70201,bobsut,,
65201,bshiv,,
66891,dbm,,
65061,djenter,,
67266,duffie,,
67266,,Nicolae,Garleanu
67266,,Lasse,Pedersen
66796,enthoven,,
66796,,Laura,Tollen
65491,fbarth,,
65491,fbeaver,,
65491,,J.R.M.,Hand
65491,,W.R.,Landsman
66096,fmcnich,,
66101,fmcnich,,
69316,fpj1,,
68891,hrao,,
68911,hrao,,
69556,itamars,,
67581,jaaker,,
66171,jbberk,,
65826,jbulow,,
77506,jphills,,
65981,jphills,,
66321,maneale,,
66421,mikehar,,
67721,milgrom,,
69986,mkelman,,
64661,ost,,
69956,profrab,,
66061,rwilson,,
66686,seenu,,
64621,sgren,,
64621,,Neng,Wang
65126,sridharn,,
65131,sridharn,,
65291,stefzen,,
65296,stefzen,,
69706,rmkramer,,
69196,woodyp,,
65506,fbarth,,
65891,dlarcker,,
64526,hnair,,
65336,haim,,
64521,hnair,,
66341,elp,,
66576,jpiotros,,
64916,pauloyer,,
65366,skrz,,
65366,,Hugo,Hopenhayn
66816,enthoven,,
66816,,Brian,Talbott
66571,jpiotros,,
66631,athey,,
66631,,Kyle,Bagwell
66631,,Chris,Sanchirico
65066,djenter,,
66336,elp,,
65496,fbarth,,
65521,fbarth,,
64771,fkasznik,,
65501,fkasznik,,
65501,fbarth,,
64766,fmcnich,,
64766,fbarth,,
65331,haim,,
69866,haulee,,
68616,hausmanw,,
68616,,G.,Gaukler
68616,,R.,Seifert
68621,hausmanw,,
68621,,J.,Miyaoka
68621,,R.,Seifert
68621,,U.,Thonemann
68896,hrao,,
67506,jaaker,,
67586,jaaker,,
67661,janewei,,
67666,janewei,,
66176,jbberk,,
65991,jphills,,
64536,kshotts,,
66116,lanierb,,
66121,lanierb,,
68166,lazear,,
65086,ltiedens,,
66276,pdemarzo,,
66276,,Ron,Kaniel
65026,preiss,,
65026,, Ingrid,Werner
66706,seenu,,
64881,sorensen,,
65121,sridharn,,
65301,stefzen,,
65306,stefzen,,
65311,stefzen,,
67181,wmeehan,,
68271,wmiller,,
69136,woodyp,,
65261,flanagan,,
65886,dlarcker,,
65881,dlarcker,,
68626,hausmanw,,
77511,deborahg,,
66346,elp,,
66181,deborahg,,
66811,enthoven,,
65511,fbarth,,
65511,,G.,Clinch
65511,,T.,Shibano
69671,fbendor,,
69671,,Daniel,Diermeier
69671,,Michael,Ting
64776,fkasznik,,
66106,fmcnich,,
68901,hrao,,
69576,itamars,,
66501,joyishii,,
65801,kathryns,,
64541,kshotts,,
65091,ltiedens,,
66426,mikehar,,
69991,mkelman,,
68476,myras,,
67186,wmeehan,,
65781,zwiebel,,
65621,eporteus,,
69831,jhorne,,
69166,woodyp,,
68221,hannan,,
64921,pauloyer,,
64921,,Scott,Schaefer
66666,athey,,
66661,athey,,
66661,,Scott,Stern
66886,dbm,,
68686,dbrady,,
70181,dlbrad,,
64761,fmcnich,,
64761,fkasznik,,
68736,fwhang,,
68906,hrao,,
67006,huckabay,,
64796,jlattin,,
65806,kathryns,,
64871,kenneths,,
64546,kshotts,,
64726,lwein,,
67136,milgrom,,
69976,profrab,,
68001,rdaines,,
66691,seenu,,
64616,sgren,,
64886,sorensen,,
64891,sorensen,,
64891,,M. Diane,Burton
64891,,Christine,Beckman
64896,sorensen,,
64896,,Toby E.,Stuart
69836,jhorne,,
69006,mclennan,,
69186,woodyp,,
68191,hannan,,
66146,dbaron,,
66146,,Daniel,Diermeier
65211,bshiv,,
66641,athey,,
66641,,Armin,Schmutzler
66636,athey,,
66636,,Jonathan,Levin
66626,athey,,
66626,,Kyle ,Bagwell
66656,athey,,
66621,athey,,
66621,,Philip,Haile
64671,athey,,
64671,jroberts,,
68131,beiker,,
79546,fbarth,,
79546,fbeaver,,
79546,,W.R.,Landsman
65526,fbarth,,
65526,fkasznik,,
65526,fmcnich,,
69681,fbendor,,
69686,fbendor,,
68141,fwolfson,,
65341,haim,,
69871,haulee,,
64551,kshotts,,
64556,kshotts,,
68171,lazear,,
64731,lwein,,
68006,rdaines,,
68011,rdaines,,
65376,rjoss,,
67191,wmeehan,,
67196,wmeehan,,
67196,,Les ,Silverman
68726,march,,
68281,wmiller,,
66456,krehbiel,,
64836,kenneths,,
64836,,Qiang,Dai
70001,admati,,
66651,athey,,
66651,,Chris,Avery
66651,,Peter,Zemsky
66191,deborahg,,
66196,deborahg,,
67271,duffie,,
67271,kenneths,,
67271,,Jun,Pan
65636,eporteus,,
65636,,D.,Lawson
65641,eporteus,,
65666,eporteus,,
65516,fbarth,,
66506,fbeaver,,
68741,fwhang,,
64801,jlattin,,
66011,jphills,,
66126,lanierb,,
68176,lazear,,
68181,lazear,,
64736,lwein,,
67141,milgrom,,
68481,myras,,
64401,saloner,,
66776,seenu,,
66781,seenu,,
66786,seenu,,
68276,wmiller,,
80271,athey,,
80271,,Scott,Stern
68711,march,,
68486,myras,,
65381,rjoss,,
64841,kenneths,,
64841,duffie,,
65176,bshiv,,
70216,bobsut,,
66881,dbm,,
67276,duffie,,
67276,pdemarzo,,
65266,flanagan,,
68746,fwhang,,
69561,itamars,,
65836,jbulow,,
65836,,Ming,Huang
65836,,Paul,Klemperer
65831,jbulow,,
65831,,Paul ,Klemperer
65811,kathryns,,
