4644,Stanford GSB,Staff,
4644,,,302156
4690,Marguerite,Rigoglioso,
4690,,,302036
4724,,,302076
4745,Barbara,Buell,
4745,,,302301
4806,Marguerite,Rigoglioso,
4806,,,302206
4889,Bill,Snyder,
4889,,,302341
4891,Stanford GSB,Staff,
4891,,,302346
4933,Alice,LaPlante,
4933,,,302601
4937,Stanford GSB,Staff,
4937,,,302631
4955,Cherian,George,
4955,,,302726
4955,,,302146
4955,,,302226
4970,Marguerite,Rigoglioso,
4970,,,302466
4980,Stanford GSB,Staff,
4980,,,302496
5008,Dave,Murphy,
5008,,,302351
5008,,,302631
5069,Helen K.,Chang,
5069,,,309151
5077,Marguerite,Rigoglioso,
5077,,,302466
80521,Marina,Krakovsky,
80521,,,302466
80521,,,302356
81681,,,302616
81736,Kathryn,Shaw,
81736,,,302591
81791,,,302621
